,Unnamed: 0,symbol,date,close,high,low,open,volume,adjClose,adjVolume,divCash,splitFactor
144,144,AAPL,2015-12-18 00:00:00+00:00,106.03,109.52,105.81,108.91,96453327,98.57252516,96453327,0.0,1.0
145,145,AAPL,2015-12-21 00:00:00+00:00,107.33,107.37,105.57,107.28,47590610,99.78109144,47590610,0.0,1.0
146,146,AAPL,2015-12-22 00:00:00+00:00,107.23,107.72,106.451,107.4,32789367,99.68812481,32789367,0.0,1.0
147,147,AAPL,2015-12-23 00:00:00+00:00,108.61,108.85,107.2,107.27,32657354,100.9710644,32657354,0.0,1.0
148,148,AAPL,2015-12-24 00:00:00+00:00,108.03,109.0,107.95,109.0,13596680,100.4318579,13596680,0.0,1.0
149,149,AAPL,2015-12-28 00:00:00+00:00,106.82,107.69,106.1807,107.59,26704210,99.3069616,26704210,0.0,1.0
150,150,AAPL,2015-12-29 00:00:00+00:00,108.74,109.43,106.86,106.96,30931243,101.091921,30931243,0.0,1.0
151,151,AAPL,2015-12-30 00:00:00+00:00,107.32,108.7,107.18,108.58,25213777,99.77179478,25213777,0.0,1.0
152,152,AAPL,2015-12-31 00:00:00+00:00,105.26,107.03,104.82,107.01,40912316,97.85668206,40912316,0.0,1.0
153,153,AAPL,2016-01-04 00:00:00+00:00,105.35,105.368,102.0,102.61,67649387,97.94035203,67649387,0.0,1.0
154,154,AAPL,2016-01-05 00:00:00+00:00,102.71,105.85,102.41,105.75,55790992,95.48603282,55790992,0.0,1.0
155,155,AAPL,2016-01-06 00:00:00+00:00,100.7,102.37,99.87,100.56,68457388,93.61740341,68457388,0.0,1.0
156,156,AAPL,2016-01-07 00:00:00+00:00,96.45,100.13,96.43,98.68,81094428,89.66632134,81094428,0.0,1.0
157,157,AAPL,2016-01-08 00:00:00+00:00,96.96,99.11,96.76,98.55,70798016,90.14045119,70798016,0.0,1.0
158,158,AAPL,2016-01-11 00:00:00+00:00,98.53,99.06,97.34,98.97,49739377,91.60002739,49739377,0.0,1.0
159,159,AAPL,2016-01-12 00:00:00+00:00,99.96,100.69,98.8399,100.55,49154227,92.9294503,49154227,0.0,1.0
160,160,AAPL,2016-01-13 00:00:00+00:00,97.39,101.19,97.3,100.32,62439631,90.54020773,62439631,0.0,1.0
161,161,AAPL,2016-01-14 00:00:00+00:00,99.52,100.48,95.74,97.96,63170127,92.5203971,63170127,0.0,1.0
162,162,AAPL,2016-01-15 00:00:00+00:00,97.13,97.71,95.36,96.2,79833891,90.29849447,79833891,0.0,1.0
163,163,AAPL,2016-01-19 00:00:00+00:00,96.66,98.65,95.5,98.41,53087747,89.86155128,53087747,0.0,1.0
164,164,AAPL,2016-01-20 00:00:00+00:00,96.79,98.1897,93.42,95.1,72334416,89.98240791,72334416,0.0,1.0
165,165,AAPL,2016-01-21 00:00:00+00:00,96.3,97.88,94.94,97.06,52161463,89.52687139,52161463,0.0,1.0
166,166,AAPL,2016-01-22 00:00:00+00:00,101.42,101.46,98.37,98.63,65800467,94.2867632,65800467,0.0,1.0
167,167,AAPL,2016-01-25 00:00:00+00:00,99.44,101.53,99.21,101.52,51794525,92.44602379,51794525,0.0,1.0
168,168,AAPL,2016-01-26 00:00:00+00:00,99.99,100.88,98.07,99.93,75077002,92.95734029,75077002,0.0,1.0
169,169,AAPL,2016-01-27 00:00:00+00:00,93.42,96.6289,93.34,96.04,133369674,86.84943224,133369674,0.0,1.0
170,170,AAPL,2016-01-28 00:00:00+00:00,94.09,94.52,92.39,93.79,55678825,87.47230871,55678825,0.0,1.0
171,171,AAPL,2016-01-29 00:00:00+00:00,97.34,97.34,94.35,94.79,64416504,90.49372441,64416504,0.0,
172,172,AAPL,2016-02-01 00:00:00+00:00,96.43,96.71,95.4,96.47,40943541,89.64772802,40943541,0.0,
173,173,AAPL,2016-02-02 00:00:00+00:00,94.48,96.04,94.28,95.42,37357215,87.83487859,37357215,0.0,
174,174,AAPL,2016-02-03 00:00:00+00:00,96.35,96.84,94.08,95.0,45964294,89.57335471,45964294,0.0,
175,175,AAPL,2016-02-04 00:00:00+00:00,96.6,97.33,95.19,95.86,46471652,90.28919781,46471652,0.52,
176,176,AAPL,2016-02-05 00:00:00+00:00,94.02,96.92,93.69,96.52,46418064,87.87774719,46418064,0.0,1.0
177,177,AAPL,2016-02-08 00:00:00+00:00,95.01,95.7,93.04,93.13,54021375,88.80307126,54021375,0.0,1.0
178,178,AAPL,2016-02-09 00:00:00+00:00,94.99,95.94,93.93,94.29,44331195,88.78437785,44331195,0.0,1.0
179,179,AAPL,2016-02-10 00:00:00+00:00,94.27,96.35,94.1,95.92,42343601,88.11141488,42343601,0.0,1.0
180,180,AAPL,2016-02-11 00:00:00+00:00,93.7,94.72,92.59,93.79,50074711,87.57865253,50074711,0.0,1.0
181,181,AAPL,2016-02-12 00:00:00+00:00,93.99,94.5,93.01,94.19,40351381,87.84970706,40351381,0.0,1.0
182,182,AAPL,2016-02-16 00:00:00+00:00,96.64,96.85,94.61,95.02,49057916,90.32658464,49057916,0.0,1.0
183,183,AAPL,2016-02-17 00:00:00+00:00,98.12,98.21,96.15,96.67,44863243,91.7098974,44863243,0.0,1.0
184,184,AAPL,2016-02-18 00:00:00+00:00,96.26,98.89,96.091,98.84,39020983,89.97140974,39020983,0.0,1.0
185,185,AAPL,2016-02-19 00:00:00+00:00,96.04,96.7599,95.8,96.0,35374173,89.76578217,35374173,0.0,1.0
186,186,AAPL,2016-02-22 00:00:00+00:00,96.88,96.9,95.92,96.31,34280758,90.55090563,34280758,0.0,1.0
187,187,AAPL,2016-02-23 00:00:00+00:00,94.69,96.5,94.55,96.4,31942633,88.50397661,31942633,0.0,1.0
188,188,AAPL,2016-02-24 00:00:00+00:00,96.1,96.38,93.32,93.98,36255745,89.82186242,36255745,0.0,1.0
189,189,AAPL,2016-02-25 00:00:00+00:00,96.76,96.76,95.25,96.05,27582659,90.43874514,27582659,0.0,1.0
190,190,AAPL,2016-02-26 00:00:00+00:00,96.91,98.0237,96.58,97.2,28991131,90.57894575,28991131,0.0,1.0
191,191,AAPL,2016-02-29 00:00:00+00:00,96.69,98.23,96.65,96.86,35216277,90.37331818,35216277,0.0,1.0
192,192,AAPL,2016-03-01 00:00:00+00:00,100.53,100.77,97.42,97.65,50407147,93.96245399,50407147,0.0,1.0
193,193,AAPL,2016-03-02 00:00:00+00:00,100.75,100.89,99.64,100.51,33169560,94.16808157,33169560,0.0,1.0
194,194,AAPL,2016-03-03 00:00:00+00:00,101.5,101.7099,100.45,100.58,36955742,94.86908466,36955742,0.0,1.0
195,195,AAPL,2016-03-04 00:00:00+00:00,103.01,103.75,101.37,102.37,46055100,96.28043754,46055100,0.0,1.0
196,196,AAPL,2016-03-07 00:00:00+00:00,101.87,102.83,100.96,102.39,35915810,95.21491285,35915810,0.0,1.0
197,197,AAPL,2016-03-08 00:00:00+00:00,101.03,101.76,100.4,100.78,31182194,94.42978939,31182194,0.0,1.0
198,198,AAPL,2016-03-09 00:00:00+00:00,101.12,101.58,100.27,101.31,27201683,94.51390976,27201683,0.0,1.0
199,199,AAPL,2016-03-10 00:00:00+00:00,101.17,102.24,100.15,101.41,33513577,94.5606433,33513577,0.0,1.0
200,200,AAPL,2016-03-11 00:00:00+00:00,102.26,102.28,101.5,102.24,27408237,95.57943445,27408237,0.0,1.0
201,201,AAPL,2016-03-14 00:00:00+00:00,102.52,102.91,101.78,101.91,25076062,95.82244886,25076062,0.0,1.0
202,202,AAPL,2016-03-15 00:00:00+00:00,104.58,105.18,103.85,103.96,40067734,97.74787067,40067734,0.0,1.0
203,203,AAPL,2016-03-16 00:00:00+00:00,105.97,106.31,104.59,104.61,38303493,99.04706306,38303493,0.0,1.0
204,204,AAPL,2016-03-17 00:00:00+00:00,105.8,106.47,104.96,105.52,34420705,98.88816903,34420705,0.0,1.0
205,205,AAPL,2016-03-18 00:00:00+00:00,105.92,106.5,105.19,106.34,44205171,99.00032952,44205171,0.0,1.0
206,206,AAPL,2016-03-21 00:00:00+00:00,105.91,107.65,105.1401,105.93,35502678,98.99098282,35502678,0.0,1.0
207,207,AAPL,2016-03-22 00:00:00+00:00,106.72,107.29,105.21,105.25,32444375,99.74806615,32444375,0.0,1.0
208,208,AAPL,2016-03-23 00:00:00+00:00,106.13,107.07,105.9,106.48,25703495,99.19661039,25703495,0.0,1.0
209,209,AAPL,2016-03-24 00:00:00+00:00,105.67,106.25,104.89,105.47,26132955,98.76666183,26132955,0.0,1.0
210,210,AAPL,2016-03-28 00:00:00+00:00,105.19,106.19,105.06,106.0,19411372,98.31801985,19411372,0.0,1.0
211,211,AAPL,2016-03-29 00:00:00+00:00,107.68,107.79,104.88,104.89,31190083,100.6453501,31190083,0.0,1.0
212,212,AAPL,2016-03-30 00:00:00+00:00,109.56,110.42,108.6,108.65,45601149,102.4025312,45601149,0.0,1.0
